dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
vehicle,5,20000,modal,timeout,600.0381191000051,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\vehicle\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
vehicle,10,20000,modal,timeout,600.0196886000049,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\vehicle\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
vowel,5,20000,modal,timeout,600.0170237999992,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\vowel\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
vowel,10,20000,modal,timeout,600.0161659000005,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\vowel\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
waveform-21,5,20000,modal,timeout,600.1645000999997,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\waveform-21\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
waveform-21,10,20000,modal,timeout,600.1541885999904,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\waveform-21\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
waveform-40,5,20000,modal,timeout,600.232387600001,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\waveform-40\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
waveform-40,10,20000,modal,timeout,600.2605346999917,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\waveform-40\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
wdbc,5,20000,modal,timeout,600.0207339000044,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wdbc\trees_5\B_20000\selector_modal,stopped after threshold of 600 seconds
wdbc,10,20000,modal,timeout,600.0306948999933,600,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\wdbc\trees_10\B_20000\selector_modal,stopped after threshold of 600 seconds
