budget,dataset,elapsed_seconds,message,run_dir,selector,status,timeout_seconds,trees
20000,iris,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,iris,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\iris\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,karhunen,600.3275820000126,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\karhunen\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,karhunen,600.3251429999946,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\karhunen\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,letter,600.0168581000034,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\letter\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,letter,600.0332144999993,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\letter\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,lupus,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,lupus,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\lupus\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,magic,600.2768356000015,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\magic\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,magic,600.1093379999948,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\magic\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,mammo,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,mammo,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mammo\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,messidor,600.0095961000043,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\messidor\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,messidor,600.0217695000028,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\messidor\trees_5\B_20000\selector_modal,modal,timeout,600,5
20000,mofn-3-7-10,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,mofn-3-7-10,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\mofn-3-7-10\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,new-thyroid,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_10\B_20000\selector_modal,modal,skipped_existing,nan,10
20000,new-thyroid,nan,nan,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\new-thyroid\trees_5\B_20000\selector_modal,modal,skipped_existing,nan,5
20000,pendigits,600.0129568999982,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\pendigits\trees_10\B_20000\selector_modal,modal,timeout,600,10
20000,pendigits,600.0527928000083,stopped after threshold of 600 seconds,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\pendigits\trees_5\B_20000\selector_modal,modal,timeout,600,5
