sample_id,target_label,robustness,changed_bits,untargeted_radius,dataset,trees,budget,selector
3,0,1.0,x2_b7,1.0,banknote,10,20000,modal
3,1,0.0,,1.0,banknote,10,20000,modal
4,0,1.0,x1_b7,1.0,banknote,10,20000,modal
4,1,0.0,,1.0,banknote,10,20000,modal
5,0,1.0,x2_b7,1.0,banknote,10,20000,modal
5,1,0.0,,1.0,banknote,10,20000,modal
6,0,0.0,,2.0,banknote,10,20000,modal
6,1,2.0,x0_b7,2.0,banknote,10,20000,modal
7,0,0.0,,1.0,banknote,10,20000,modal
7,1,1.0,x1_b7,1.0,banknote,10,20000,modal
8,0,0.0,,1.0,banknote,10,20000,modal
8,1,1.0,x1_b6,1.0,banknote,10,20000,modal
9,0,1.0,x0_b7,1.0,banknote,10,20000,modal
9,1,0.0,,1.0,banknote,10,20000,modal
0,0,0.0,,2.0,banknote,10,20000,p_value
0,1,2.0,x0_b7,2.0,banknote,10,20000,p_value
1,0,1.0,x2_b7,1.0,banknote,10,20000,p_value
1,1,0.0,,1.0,banknote,10,20000,p_value
2,0,0.0,,1.0,banknote,10,20000,p_value
2,1,1.0,,1.0,banknote,10,20000,p_value
3,0,1.0,x2_b7,1.0,banknote,10,20000,p_value
3,1,0.0,,1.0,banknote,10,20000,p_value
4,0,1.0,x1_b7,1.0,banknote,10,20000,p_value
4,1,0.0,,1.0,banknote,10,20000,p_value
5,0,1.0,x2_b7,1.0,banknote,10,20000,p_value
5,1,0.0,,1.0,banknote,10,20000,p_value
6,0,0.0,,2.0,banknote,10,20000,p_value
6,1,2.0,x0_b7,2.0,banknote,10,20000,p_value
7,0,0.0,,1.0,banknote,10,20000,p_value
7,1,1.0,x1_b7,1.0,banknote,10,20000,p_value
8,0,0.0,,1.0,banknote,10,20000,p_value
8,1,1.0,x1_b6,1.0,banknote,10,20000,p_value
9,0,1.0,x0_b7,1.0,banknote,10,20000,p_value
9,1,0.0,,1.0,banknote,10,20000,p_value
0,0,0.0,,2.0,banknote,10,20000,random_node
0,1,2.0,x0_b6,2.0,banknote,10,20000,random_node
1,0,1.0,x2_b7,1.0,banknote,10,20000,random_node
1,1,0.0,,1.0,banknote,10,20000,random_node
2,0,0.0,,1.0,banknote,10,20000,random_node
