dataset,trees,budget,selector,status,elapsed_seconds,timeout_seconds,run_dir,message
appendicitis,5,20000,p_value,completed,1.9603699999997843,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_p_value,
appendicitis,5,20000,random_node,completed,1.9243412000000717,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_5\B_20000\selector_random_node,
appendicitis,10,20000,info_gain,completed,2.1044213000000127,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_info_gain,
appendicitis,10,20000,shapley,completed,2.091976500000328,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_shapley,
appendicitis,10,20000,p_value,completed,2.086560300000201,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_p_value,
appendicitis,10,20000,random_node,completed,2.1413157000001775,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\appendicitis\trees_10\B_20000\selector_random_node,
banknote,5,20000,info_gain,completed,3.367609899999934,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_info_gain,
banknote,5,20000,shapley,completed,3.2218715000003613,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_shapley,
banknote,5,20000,p_value,completed,3.3194587000002684,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_p_value,
banknote,5,20000,random_node,completed,3.995919999999842,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_5\B_20000\selector_random_node,
banknote,10,20000,info_gain,completed,14.259017299999869,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_info_gain,
banknote,10,20000,shapley,completed,166.93841390000034,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_shapley,
banknote,10,20000,p_value,completed,14.899902900000143,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_p_value,
banknote,10,20000,random_node,completed,294.8219189000001,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\banknote\trees_10\B_20000\selector_random_node,
breast-cancer,5,20000,info_gain,completed,2.7398623999997653,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_info_gain,
breast-cancer,5,20000,shapley,completed,2.037265199999638,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_shapley,
breast-cancer,5,20000,p_value,completed,1.9541360000002896,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_p_value,
breast-cancer,5,20000,random_node,completed,1.8642737999998644,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_5\B_20000\selector_random_node,
breast-cancer,10,20000,info_gain,completed,1.9230154999995648,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_info_gain,
breast-cancer,10,20000,shapley,completed,1.960308000000623,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_shapley,
breast-cancer,10,20000,p_value,completed,1.997989100000268,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_p_value,
breast-cancer,10,20000,random_node,completed,2.1853393999999753,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\breast-cancer\trees_10\B_20000\selector_random_node,
bupa,5,20000,info_gain,completed,74.14714219999951,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_info_gain,
bupa,5,20000,shapley,timeout,300.23102990000007,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_shapley,stopped after threshold of 300 seconds
bupa,5,20000,p_value,completed,81.5483391000007,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_p_value,
bupa,5,20000,random_node,completed,101.08292749999964,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_5\B_20000\selector_random_node,
bupa,10,20000,info_gain,timeout,300.0571737999999,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_info_gain,stopped after threshold of 300 seconds
bupa,10,20000,shapley,timeout,300.17527169999994,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_shapley,stopped after threshold of 300 seconds
bupa,10,20000,p_value,timeout,300.0794999,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_p_value,stopped after threshold of 300 seconds
bupa,10,20000,random_node,timeout,300.1364439000008,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\bupa\trees_10\B_20000\selector_random_node,stopped after threshold of 300 seconds
ecoli,5,20000,info_gain,completed,11.7189886999995,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_info_gain,
ecoli,5,20000,shapley,completed,27.15692730000046,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_shapley,
ecoli,5,20000,p_value,completed,9.349562999999762,300,C:\Users\ricca\Documents\Codex\2026-06-15\files-mentioned-by-the-user-bdss\outputs\bdss_rf_robustness_project\results\full_54_grid\ecoli\trees_5\B_20000\selector_p_value,
